,Phone,Img_url,Price,Rating,connectivity,processor,Memory,Bettry,Display,Camera,Memory_card,Os
72,Xiaomi Redmi 13C 5G,"<img alt=""Xiaomi Redmi 13C 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iSGQ0AnrN-w280-h280/xiaomi-redmi-13c-5g.webp""/>","₹10,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + Depth Sensor Dual Rear &amp; 5 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
73,OPPO Reno 11 Pro 5G,"<img alt=""OPPO Reno 11 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ic71jzGhf-w280-h280/oppo-reno-11-pro-5g.webp""/>","₹37,410",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Dimensity 8200, Octa Core, 3.1 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">4600 mAh Battery with 80W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 32 MP + 8 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v14</li>",
74,iQOO Z7 Pro 5G,"<img alt=""iQOO Z7 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iqTrpvuFI-w280-h280/iqoo-z7-pro-5g.webp""/>","₹23,999",80,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7200, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">4600 mAh Battery with 66W Fast Charging</li>","<li class="""">6.78 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
75,Samsung Galaxy S21 FE 5G,"<img alt=""Samsung Galaxy S21 FE 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ii3Pn8ry8-w280-h280/samsung-galaxy-s21-f.webp""/>","₹33,199",86,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Exynos 2100, Octa Core, 2.9 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">4500 mAh Battery with 25W Fast Charging</li>","<li class="""">6.4 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole</li>","<li class="""">12 MP + 12 MP + 8 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v12</li>",
76,Xiaomi Redmi 12 5G (6GB RAM + 128GB),"<img alt=""Xiaomi Redmi 12 5G (6GB RAM + 128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iHDQ4Z3gJ-w280-h280/xiaomi-redmi-12-5g-6.webp""/>","₹12,412",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
77,Apple iPhone 14,"<img alt=""Apple iPhone 14"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iVyp4t2Vm-w280-h280/apple-iphone-14.webp""/>","₹58,999",80,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Bionic A15, Hexa Core, 3.22 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">3279 mAh Battery with Fast Charging</li>","<li class="""">6.1 inches, 1170 x 2532 px Display with Small Notch</li>","<li class="""">12 MP + 12 MP Dual Rear &amp; 12 MP Front Camera</li>","<li class="""">iOS v16</li>",
78,Infinix Zero 30 5G (12GB RAM + 256GB),"<img alt=""Infinix Zero 30 5G (12GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iDY8fcOJw-w280-h280/infinix-zero-30-5g-1.webp""/>","₹22,997",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Dimensity 8020, Octa Core, 2.6 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 68W Fast Charging</li>","<li class="""">6.78 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole</li>","<li class="""">108 MP + 13 MP + 2 MP Triple Rear &amp; 50 MP Front Camera</li>","<li class="""">Android v13</li>","<li class="""">Bluetooth</li>"
79,iQOO Z7s 5G,"<img alt=""iQOO Z7s 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i9D1kFitS-w280-h280/iqoo-z7s-5g.webp""/>","₹14,999",80,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 695, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">4500 mAh Battery with 44W Fast Charging</li>","<li class="""">6.38 inches, 1080 x 2388 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">64 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
80,Samsung Galaxy M34 5G,"<img alt=""Samsung Galaxy M34 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iRTKzK37t-w280-h280/samsung-galaxy-m34-5.webp""/>","₹15,980",82,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Exynos 1280 , Octa Core, 2.4 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.5 inches, 1080 x 2340 px, 120 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
81,Xiaomi Redmi Note 13 5G (8GB RAM + 256GB),"<img alt=""Xiaomi Redmi Note 13 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iWaOIyTl6-w280-h280/xiaomi-redmi-note-13.webp""/>","₹19,163",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, IR Blaster</li>","<li class="""">Dimensity 6080, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
82,Tecno Pova 6 Pro (12GB RAM + 256GB),"<img alt=""Tecno Pova 6 Pro (12GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iLtCCm7jK-w280-h280/tecno-pova-6-pro-12g.webp""/>","₹21,999",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Dimensity 6080, Octa Core, 2.4 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">6000 mAh Battery with 70W Fast Charging</li>","<li class="""">6.78 inches, 1080 x 2436 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 2 MP + 0.08 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v14</li>"
83,OnePlus 11R 5G,"<img alt=""OnePlus 11R 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iTWs9Sy4Y-w280-h280/oneplus-11r-5g.webp""/>","₹35,999",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 100W Fast Charging</li>","<li class="""">6.74 inches, 1240 x 2772 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
84,Apple iPhone 15 Pro Max,"<img alt=""Apple iPhone 15 Pro Max"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i8JRxZbzY-w280-h280/apple-iphone-15-pro.webp""/>","₹1,48,900",89,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Bionic  A17 Pro, Hexa Core, 3.78 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">4422 mAh Battery with Fast Charging</li>","<li class="""">6.7 inches, 1290 x 2796 px, 120 Hz Display with Dynamic Island</li>","<li class="""">48 MP + 12 MP + 12 MP Triple Rear &amp; 12 MP Front Camera</li>","<li class="""">iOS v17</li>",
85,Vivo Y200e 5G,"<img alt=""Vivo Y200e 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iB8ZiP27V-w280-h280/vivo-y200e-5g.webp""/>","₹19,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 44W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
86,Apple iPhone 13,"<img alt=""Apple iPhone 13"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ides4J9tl-w280-h280/apple-iphone-13.webp""/>","₹51,499",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Bionic A15, Hexa Core, 3.22 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">3240 mAh Battery with Fast Charging</li>","<li class="""">6.1 inches, 1170 x 2532 px Display with Small Notch</li>","<li class="""">12 MP + 12 MP Dual Rear &amp; 12 MP Front Camera</li>","<li class="""">iOS v15</li>",
87,iQOO Z9 5G (8GB RAM + 256GB),"<img alt=""iQOO Z9 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iMsqBg5d5-w280-h280/iqoo-z9-5g-8gb-ram-2.webp""/>","₹21,999",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7200, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 44W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
88,Xiaomi 14,"<img alt=""Xiaomi 14"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iX75OKrrV-w280-h280/xiaomi-14.webp""/>","₹69,999",92,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor</li>","<li class="""">12 GB RAM, 512 GB inbuilt</li>","<li class="""">4610 mAh Battery with 90W Fast Charging</li>","<li class="""">6.36 inches, 1200 x 2670 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 50 MP + 50 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v14</li>",
89,Samsung Galaxy M14,"<img alt=""Samsung Galaxy M14"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iLbfJZtNo-w280-h280/samsung-galaxy-m14.webp""/>","₹11,395",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Exynos 1330, Octa Core, 2.4 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.6 inches, 1080 x 2408 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 2 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
90,Nothing Phone 2a (12GB RAM + 256GB),"<img alt=""Nothing Phone 2a (12GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iTuKfUn7c-w280-h280/nothing-phone-2a-12g.webp""/>","₹27,999",87,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Dimensity 7200 Pro, Octa Core, 2.8 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.7 inches, 1084 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 50 MP Dual Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v14</li>",
91,Vivo T2x 5G,"<img alt=""Vivo T2x 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iirMZdoNi-w280-h280/vivo-t2x-5g.webp""/>","₹11,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6020, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.58 inches, 1080 x 2408 px Display with Water Drop Notch</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
92,Realme 12 Plus 5G (8GB RAM + 256GB),"<img alt=""Realme 12 Plus 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iUyGoU2rR-w280-h280/realme-12-plus-5g-8g.webp""/>","₹20,990",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7050, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v14</li>"
93,Poco M6 5G,"<img alt=""Poco M6 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iJmKCLd2L-w280-h280/poco-m6-5g.webp""/>","₹9,499",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.74 inches, 720 x 1650 px, 90 Hz Display with Punch Hole</li>","<li class="""">50 MP Dual Rear &amp; 5 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
94,Realme 12 Pro Plus 5G (12GB RAM + 256GB),"<img alt=""Realme 12 Pro Plus 5G (12GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iWOrPVQHV-w280-h280/realme-12-pro-plus-5.webp""/>","₹30,749",86,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 50 MP + 8 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v14</li>",
95,Realme Narzo 60X,"<img alt=""Realme Narzo 60X"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iZWCSf0m6-w280-h280/realme-narzo-60x.webp""/>","₹10,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 2 TB</li>","<li class="""">Android v13</li>"
96,Realme 11x 5G,"<img alt=""Realme 11x 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i04KzNQ16-w280-h280/realme-11x-5g.webp""/>","₹14,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 2 TB</li>","<li class="""">Android v13</li>"
97,iQOO 12 5G,"<img alt=""iQOO 12 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i1JG6Q2RP-w280-h280/iqoo-12-5g.webp""/>","₹52,999",89,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 120W Fast Charging</li>","<li class="""">6.78 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole</li>","<li class="""">64 MP + 50 MP + 50 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v14</li>",
98,Samsung Galaxy S20 FE 5G,"<img alt=""Samsung Galaxy S20 FE 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i2KgV4jIM-w280-h280/samsung-galaxy-s20-f.webp""/>","₹26,485",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Snapdragon 865, Octa Core, 2.84 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">4500 mAh Battery with Fast Charging</li>","<li class="""">6.5 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">12 MP + 12 MP + 8 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card (Hybrid)</li>","<li class="""">Android v10</li>"
99,Samsung Galaxy M15 5G,"<img alt=""Samsung Galaxy M15 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iL7JqdFUc-w280-h280/samsung-galaxy-m15-5.webp""/>","₹13,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.5 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 5 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v14</li>"
100,Vivo T2 5G,"<img alt=""Vivo T2 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ihy7AIBjk-w280-h280/vivo-t2-5g.webp""/>","₹15,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 695, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">4500 mAh Battery with 44W Fast Charging</li>","<li class="""">6.38 inches, 1080 x 2400 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">64 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
101,Apple iPhone 15 Plus,"<img alt=""Apple iPhone 15 Plus"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iBzbDITOc-w280-h280/apple-iphone-15-plus.webp""/>","₹80,990",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Bionic  A16, Hexa Core, 3.46 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">4383 mAh Battery with Fast Charging</li>","<li class="""">6.7 inches, 1290 x 2796 px Display with Dynamic Island</li>","<li class="""">48 MP + 12 MP Dual Rear &amp; 12 MP Front Camera</li>","<li class="""">iOS v17</li>",
